"FFMC","s(FFMC)"
36.5,-1.0298814266292
36.6,-1.02852150745023
36.7,-1.02716205558438
36.8,-1.02580298660576
36.9,-1.02444421608848
37,-1.02308565960667
37.1,-1.02172723273443
37.2,-1.02036885104587
37.3,-1.01901043011512
37.4,-1.01765188551629
37.5,-1.0162931328235
37.6,-1.01493408761085
37.7,-1.01357466545246
37.8,-1.01221478192245
37.9,-1.01085435259494
38,-1.00949329304403
38.1,-1.00813151884384
38.2,-1.00676894556849
38.3,-1.00540548879209
38.4,-1.00404106408876
38.5,-1.00267558703261
38.6,-1.00130897319776
38.7,-0.999941138158314
38.8,-0.998571997488395
38.9,-0.997201466762116
39,-0.995829461553592
39.1,-0.994455897436938
39.2,-0.993080689986267
39.3,-0.991703754775696
39.4,-0.990325007379339
39.5,-0.988944363371311
39.6,-0.987561738325726
39.7,-0.986177047816699
39.8,-0.984790207418345
39.9,-0.983401132704778
40,-0.982009739250114
40.1,-0.980615942628468
40.2,-0.979219658413953
40.3,-0.977820802180684
40.4,-0.976419289502778
40.5,-0.975015035954348
40.6,-0.973607957109508
40.7,-0.972197968542375
40.8,-0.970784985827061
40.9,-0.969368924537683
41,-0.967949700248355
41.1,-0.966527228533192
41.2,-0.965101424966309
41.3,-0.963672205121819
41.4,-0.962239484573839
41.5,-0.960803178896482
41.6,-0.959363203663864
41.7,-0.9579194744501
41.8,-0.956471906829303
41.9,-0.955020416375589
42,-0.953564918663073
42.1,-0.952105329265869
42.2,-0.950641563758093
42.3,-0.949173537713858
42.4,-0.94770116670728
42.5,-0.946224366312473
42.6,-0.944743052103552
42.7,-0.943257139654633
42.8,-0.941766544539829
42.9,-0.940271182333255
43,-0.93877096879307
43.1,-0.937265849561505
43.2,-0.935755832947622
43.3,-0.934240935151351
43.4,-0.932721172372623
43.5,-0.931196560811367
43.6,-0.929667116667514
43.7,-0.928132856140994
43.8,-0.926593795431736
43.9,-0.92504995073967
44,-0.923501338264728
44.1,-0.921947974206838
44.2,-0.920389874765931
44.3,-0.918827056141937
44.4,-0.917259534534786
44.5,-0.915687326144408
44.6,-0.914110447170733
44.7,-0.912528913813691
44.8,-0.910942742273212
44.9,-0.909351948749227
45,-0.907756549441665
45.1,-0.906156560550456
45.2,-0.90455199827553
45.3,-0.902942878816818
45.4,-0.90132921837425
45.5,-0.899711033147755
45.6,-0.898088339337264
45.7,-0.896461153142707
45.8,-0.894829490764013
45.9,-0.893193368401113
46,-0.891552802253937
46.1,-0.889907808522414
46.2,-0.888258403406476
46.3,-0.886604603106052
46.4,-0.884946423821071
46.5,-0.883283881751465
46.6,-0.881616993097163
46.7,-0.879945774058096
46.8,-0.878270240834192
46.9,-0.876590409625383
47,-0.874906296631599
47.1,-0.873217918052768
47.2,-0.871525290088823
47.3,-0.869828428939692
47.4,-0.868127350805306
47.5,-0.866422071885594
47.6,-0.864712608380487
47.7,-0.862998976489915
47.8,-0.861281192413807
47.9,-0.859559272352095
48,-0.857833232504708
48.1,-0.856103089071575
48.2,-0.854368858252628
48.3,-0.852630556247796
48.4,-0.850888199257008
48.5,-0.849141803480197
48.6,-0.84739138511729
48.7,-0.845636960368219
48.8,-0.843878545432914
48.9,-0.842116156511303
49,-0.840349809803319
49.1,-0.83857952150889
49.2,-0.836805307827946
49.3,-0.835027184960419
49.4,-0.833245169106236
49.5,-0.83145927646533
49.6,-0.82966952323763
49.7,-0.827875925623066
49.8,-0.826078499821567
49.9,-0.824277262033065
50,-0.822472228457489
50.1,-0.820663415294768
50.2,-0.818850838744834
50.3,-0.817034515007617
50.4,-0.815214460283045
50.5,-0.81339069077105
50.6,-0.811563222671562
50.7,-0.809732072184509
50.8,-0.807897255509824
50.9,-0.806058788847435
51,-0.804216688397273
51.1,-0.802370970359267
