"FFMC","s(FFMC)"
60.9,-0.508632799607404
61,-0.507024613049473
61.1,-0.505411644150446
61.2,-0.503793691319917
61.3,-0.50217055296748
61.4,-0.500542027502728
61.5,-0.498907913335254
61.6,-0.497268008874652
61.7,-0.495622112530515
61.8,-0.493970022712438
61.9,-0.492311537830012
62,-0.490646456292834
62.1,-0.488974576510494
62.2,-0.487295696892587
62.3,-0.485609615848706
62.4,-0.483916131788446
62.5,-0.482215043121399
62.6,-0.480506148257159
62.7,-0.478789245605319
62.8,-0.477064133575473
62.9,-0.475330610577215
63,-0.473588475020138
63.1,-0.471837525313835
63.2,-0.4700775598679
63.3,-0.468308377091926
63.4,-0.466529775395507
63.5,-0.464741552464071
63.6,-0.462943462533044
63.7,-0.461135192490359
63.8,-0.459316423430612
63.9,-0.457486836448403
64,-0.455646112638328
64.1,-0.453793933094985
64.2,-0.451929978912973
64.3,-0.450053931186889
64.4,-0.44816547101133
64.5,-0.446264279480895
64.6,-0.444350037690182
64.7,-0.442422426733788
64.8,-0.440481127706312
64.9,-0.438525821702349
65,-0.436556189816501
65.1,-0.434571913143362
65.2,-0.432572672777532
65.3,-0.430558149813608
65.4,-0.428528025346188
65.5,-0.42648198046987
65.6,-0.424419696279252
65.7,-0.422340853868931
65.8,-0.420245134333505
65.9,-0.418132218767572
66,-0.416001788265731
66.1,-0.413853523922577
66.2,-0.411687106832711
