"FISHNET_AB","X","Y","te(X,Y)"
4720,-115.600502765,54.0494986671,1.9493064603359
4721,-115.447709109,54.0501644797,1.90784448070798
4722,-115.294910179,54.05063619,1.05973984186816
4723,-115.142107775,54.0509137854,-0.83035210272907
4775,-117.884340263,53.9264417669,-1.98030603480804
4776,-117.732167842,53.9300025111,-1.87515948737923
4780,-117.123176735,53.9423178377,-1.37123921348038
4781,-116.970862452,53.9449143569,-1.19710369934763
4782,-116.818525114,53.9473178085,-0.9934952931242
4783,-116.666166497,53.9495281301,-0.75565761595014
4784,-116.51378838,53.9515452641,-0.480124762855415
4785,-116.361392541,53.953369158,-0.16560345588299
4786,-116.208980763,53.9549997643,0.190303799971261
4787,-116.056554827,53.9564370406,0.59123184250319
4788,-115.904116515,53.9576809495,1.04155461533652
4789,-115.751667613,53.9587314585,1.49222369487152
4790,-115.599209905,53.9595885403,1.73460905577621
4791,-115.446745176,53.9602521726,1.52761879113016
4792,-115.294275213,53.960722338,0.628114996782476
4858,-115.902176559,53.8677756877,1.15301988844281
4859,-115.750054683,53.8688227603,1.36122469391568
4860,-115.597924066,53.8696770383,1.36849716589042
4861,-115.445786479,53.8703384995,1.03614034926409
4862,-115.293643696,53.8708071268,0.223415109541018
