"FFMC","s(FFMC)"
46.1,-0.522905108986724
46.2,-0.521217185017436
46.3,-0.519533634935934
46.4,-0.517854553237796
46.5,-0.516180034418598
46.6,-0.514510172973917
46.7,-0.512845063399328
46.8,-0.51118480019041
46.9,-0.509529477842737
47,-0.507879190851887
47.1,-0.506234033713436
47.2,-0.504594100922961
47.3,-0.502959486976038
47.4,-0.501330286368243
47.5,-0.499706593595154
47.6,-0.498088503152346
47.7,-0.496476109535396
47.8,-0.49486950723988
47.9,-0.493268790761376
48,-0.491674054595459
48.1,-0.490085393237706
48.2,-0.488502901183694
48.3,-0.486926672928998
48.4,-0.485356802969196
48.5,-0.483793385799864
48.6,-0.482236515916579
48.7,-0.480686287814916
48.8,-0.479142795990453
48.9,-0.477606134938766
49,-0.476076399155431
49.1,-0.474553683136026
49.2,-0.473038081376125
49.3,-0.471529688371307
49.4,-0.470028598617147
49.5,-0.468534906609222
49.6,-0.467048706843108
49.7,-0.465570093814383
49.8,-0.464099162018621
49.9,-0.462636005951401
50,-0.461180720108298
50.1,-0.459733398984888
50.2,-0.458294137076749
50.3,-0.456863028879457
50.4,-0.455440168888589
50.5,-0.45402565159972
50.6,-0.452619571508427
50.7,-0.451222023110287
50.8,-0.449833100900877
50.9,-0.448452899375772
51,-0.44708151303055
51.1,-0.445719036360786
51.2,-0.444365563862058
51.3,-0.443021190029942
51.4,-0.441686009360014
51.5,-0.44036011634785
51.6,-0.439043605489028
51.7,-0.437736571279124
51.8,-0.436439108213713
51.9,-0.435151310788374
52,-0.433873273498682
52.1,-0.432605090840213
52.2,-0.431346857308545
52.3,-0.430098667399253
52.4,-0.428860615607915
52.5,-0.427632796430106
52.6,-0.426415304361404
52.7,-0.425208233897384
52.8,-0.424011679533623
52.9,-0.422825735765698
53,-0.421650497089185
53.1,-0.420486057999661
53.2,-0.419332512992702
53.3,-0.418189956563884
53.4,-0.417058483208785
53.5,-0.41593818742298
53.6,-0.414829163702047
53.7,-0.413731506541561
53.8,-0.412645310437099
53.9,-0.411570669884237
54,-0.410507679378553
54.1,-0.409456433415622
54.2,-0.408417026491022
54.3,-0.407389524087837
54.4,-0.40637376128092
54.5,-0.405369463269831
54.6,-0.404376354577451
54.7,-0.403394159726665
54.8,-0.402422603240357
54.9,-0.401461409641408
55,-0.400510303452703
55.1,-0.399569009197124
55.2,-0.398637251397556
55.3,-0.39771475457688
55.4,-0.396801243257982
55.5,-0.395896441963743
55.6,-0.395000075217047
55.7,-0.394111867540777
55.8,-0.393231543457817
55.9,-0.392358827491049
56,-0.391493444163358
56.1,-0.390635117997626
56.2,-0.389783573516737
56.3,-0.388938535243573
56.4,-0.388099727701019
56.5,-0.387266875411957
56.6,-0.38643970289927
56.7,-0.385617934685843
56.8,-0.384801295294557
56.9,-0.383989509248298
57,-0.383182301069946
57.1,-0.382379395282387
57.2,-0.381580516408503
57.3,-0.380785388971177
57.4,-0.379993737493294
57.5,-0.379205286497735
57.6,-0.378419760507384
57.7,-0.377636884045125
57.8,-0.376856381633841
57.9,-0.376077977796415
58,-0.37530139705573
58.1,-0.374526363934669
58.2,-0.373752602956117
58.3,-0.372979838642955
58.4,-0.372207795518068
58.5,-0.371436198104339
58.6,-0.37066477092465
58.7,-0.369893238501886
58.8,-0.369121325358929
58.9,-0.368348756018663
59,-0.36757525500397
59.1,-0.366800546837735
59.2,-0.36602435604284
59.3,-0.365246407142169
59.4,-0.364466424658605
59.5,-0.363684133115032
59.6,-0.362899257034331
59.7,-0.362111520939388
59.8,-0.361320649353084
59.9,-0.360526366798304
